# Note - 2/19/18 6:29
# ESC - VK03531
# Poles - 2
# Gear Ratio - 1
# KV - 1100
# Graph Data - 1 Sessions - Saved Monday, February 19, 2018
# Start Of Session - Sample Time: 1.000
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
0.9153      , 0.000       , 20.28       , 0.000       , 0.0         , 24.9        , 0           
0.9153      , 0.000       , 20.28       , 0.000       , 0.0         , 71.1        , 0           
0.9153      , 0.000       , 20.28       , 0.000       , 0.0         , 71.1        , 0           
0.9859      , 0.000       , 20.28       , 0.000       , 0.0         , 71.1        , 0           
0.9859      , 0.000       , 20.28       , 0.000       , 0.0         , 71.1        , 0           
1.0172      , 4.314       , 20.28       , 0.000       , 0.0         , 71.1        , 4921        
1.0172      , 4.314       , 20.28       , 0.000       , 0.0         , 71.1        , 5459        
1.0251      , 5.490       , 20.28       , 0.000       , 0.0         , 71.8        , 5817        
1.0329      , 6.667       , 20.28       , 0.000       , 0.0         , 71.8        , 6679        
1.0407      , 9.020       , 20.28       , 0.000       , 0.0         , 71.1        , 8029        
1.0486      , 10.980      , 20.28       , 0.000       , 0.0         , 71.1        , 9496        
1.0564      , 12.157      , 20.28       , 0.000       , 0.0         , 71.1        , 10158       
1.0564      , 12.157      , 20.28       , 0.000       , 0.0         , 71.1        , 10723       
1.0721      , 14.510      , 20.28       , 0.000       , 0.0         , 71.1        , 11515       
1.0799      , 16.863      , 20.28       , 0.000       , 0.0         , 71.1        , 12784       
1.0878      , 18.039      , 20.28       , 0.000       , 0.0         , 71.1        , 13423       
1.0956      , 20.000      , 20.28       , 0.000       , 0.0         , 71.1        , 14119       
1.1034      , 21.569      , 20.28       , 0.000       , 0.0         , 71.1        , 15045       
1.1113      , 23.529      , 20.28       , 0.000       , 0.0         , 71.8        , 15526       
1.1269      , 25.490      , 20.28       , 0.211       , 0.0         , 71.8        , 16653       
1.1348      , 27.843      , 20.28       , 0.211       , 0.0         , 71.8        , 17540       
1.1504      , 29.804      , 20.28       , 0.211       , 0.0         , 71.8        , 18377       
1.1504      , 29.804      , 20.28       , 0.211       , 0.0         , 71.8        , 18611       
1.1504      , 30.588      , 20.28       , 0.211       , 0.0         , 71.8        , 18817       
1.1504      , 30.980      , 20.28       , 0.211       , 0.0         , 71.8        , 18869       
1.1504      , 31.373      , 20.28       , 0.211       , 0.0         , 71.8        , 19063       
1.1504      , 31.373      , 20.28       , 0.211       , 0.0         , 71.8        , 19117       
1.1504      , 30.588      , 20.28       , 0.211       , 0.0         , 72.5        , 18975       
1.0407      , 9.412       , 20.28       , 0.000       , 0.0         , 72.5        , 15214       
0.9153      , 0.000       , 20.28       , 0.000       , 0.0         , 72.5        , 9090        
0.9153      , 0.000       , 20.28       , 0.000       , 0.0         , 72.5        , 5659        
