# Note - 2/19/18 6:33
# ESC - VK03531
# Poles - 2
# Gear Ratio - 1
# KV - 1100
# Graph Data - 1 Sessions - Saved Monday, February 19, 2018
# Start Of Session - Sample Time: 1.000
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 24.9        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.1        , 0           
1.0878      , 0.000       , 20.28       , 0.000       , 0.0         , 71.1        , 0           
1.0878      , 0.000       , 20.28       , 0.000       , 0.0         , 71.1        , 0           
1.0878      , 0.000       , 20.28       , 0.000       , 0.0         , 71.1        , 0           
1.0878      , 0.000       , 20.28       , 0.000       , 0.0         , 71.1        , 0           
1.0878      , 0.000       , 20.28       , 0.000       , 0.0         , 71.1        , 0           
1.1583      , 3.922       , 20.28       , 0.000       , 0.0         , 71.1        , 4077        
1.1740      , 6.667       , 20.28       , 0.000       , 0.0         , 71.8        , 5843        
1.1818      , 9.020       , 20.28       , 0.000       , 0.0         , 71.8        , 7632        
1.1896      , 10.588      , 20.28       , 0.000       , 0.0         , 71.8        , 8923        
1.1896      , 10.588      , 20.28       , 0.000       , 0.0         , 71.8        , 9773        
1.2053      , 13.333      , 20.28       , 0.000       , 0.0         , 71.8        , 10912       
1.2210      , 16.471      , 20.28       , 0.000       , 0.0         , 71.8        , 11870       
1.2210      , 16.471      , 20.28       , 0.000       , 0.0         , 71.8        , 12729       
1.2445      , 20.392      , 20.28       , 0.000       , 0.0         , 71.8        , 14459       
1.2445      , 20.784      , 20.28       , 0.000       , 0.0         , 71.8        , 14881       
1.2602      , 23.529      , 20.28       , 0.211       , 0.0         , 71.8        , 15988       
1.2680      , 26.667      , 20.28       , 0.211       , 0.0         , 71.8        , 16640       
1.2758      , 27.451      , 20.28       , 0.211       , 0.0         , 71.8        , 17435       
1.2837      , 29.020      , 20.28       , 0.211       , 0.0         , 71.8        , 18036       
1.2837      , 29.020      , 20.28       , 0.211       , 0.0         , 71.8        , 18213       
1.2915      , 29.804      , 20.28       , 0.211       , 0.0         , 71.8        , 18443       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 72.5        , 19189       
1.2993      , 31.765      , 20.28       , 0.211       , 0.0         , 72.5        , 19297       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 72.5        , 19297       
1.2758      , 27.451      , 20.28       , 0.211       , 0.0         , 72.5        , 18922       
1.1740      , 7.451       , 20.28       , 0.000       , 0.0         , 72.5        , 13749       
1.1661      , 4.706       , 20.28       , 0.000       , 0.0         , 72.5        , 9523        
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 72.5        , 6607        
1.0094      , 0.000       , 20.28       , 0.000       , 0.0         , 72.5        , 4256        
