# Note - 2/19/18,,,,,,
# Note - AXI Goldline KV 370,,,,,,
# Note - _AXi_5320/18,,,,,,
# ESC - VK03531,,,,,,
# Poles - 2,,,,,,
# Gear Ratio - 1,,,,,,
# KV - 1100,,,,,,
# Graph Data - 12 Sessions - Saved Monday, February 19,2018,,,,
# Start Of Session - Sample Time: 0.100,,,,,,
# Reset Source (Cause of reset):  Normal Boot-up Sequence,255,,,,,
# Idle Times: ,,,,,,
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.4482,30.588,20.28,0,0,68.3,35819
1.4561,32.157,20.28,0,0,68.3,37600
1.4639,34.118,20.28,0,0,68.3,38815
1.4796,36.471,20.28,0,0,68.3,40509
1.4953,39.608,20.28,0,0,68.3,41752
1.5188,43.922,20.28,0,0,67.6,43073
1.5266,46.667,20.28,0,0,68.3,44481
1.5266,46.667,20.28,0,0,68.3,45370
1.5266,46.667,20.28,0,0,68.3,46087
1.5266,46.667,20.28,0,0,68.3,46402
1.5266,46.667,20.28,0,0,68.3,46720
1.5266,46.667,20.28,0,0,68.3,46827
1.5266,46.667,20.28,0,0,68.3,46827
1.5266,46.667,20.28,0,0,68.3,46935
1.5266,46.667,20.28,0,0,68.3,47043
1.5266,46.667,20.28,0,0,68.3,47043
1.5501,51.373,20.28,0,0,68.3,47261
1.6128,63.137,20.28,0,0,68.3,48039
1.6755,75.686,20.28,0,0,68.3,49197
1.7382,89.02,20.28,0,1.6,68.3,50536
1.7931,99.608,20.28,0,0,64.7,51427
1.8244,100,20.28,0,0,68.3,53168
1.8714,100,20.28,0,0,68.3,53168
1.9106,100,20.28,0,0,68.3,53168
1.9184,100,20.28,0,0,68.3,53307
1.9184,100,20.28,0,0,68.3,53168
1.8871,100,20.28,0,0,68.3,53168
1.8087,100,20.28,0,0,68.3,53307
1.746,90.196,20.28,0,0,68.3,52083
1.699,80.392,20.28,0,0,69,51427
1.652,70.98,20.28,0,0,68.3,50914
1.6128,63.529,20.28,0,0,68.3,50287
1.5893,58.431,20.28,0,0,68.3,49797
1.5266,46.275,20.28,0,0,68.3,49316
1.4639,34.118,20.5,0.211,0,68.3,48266
1.4169,24.314,20.28,0,0,68.3,46827
1.3699,15.294,20.28,0,0,68.3,45170
1.3464,9.804,20.28,0,0,68.3,42982
1.315,4.314,20.5,0,0,68.3,40833
1.2758,0,20.28,0,0,69,38595
1.2445,0,20.28,0,0,68.3,36787
1.1818,0,20.28,0,0,68.3,34605
1.1504,0,20.28,0,0,68.3,32667
1.1348,0,20.28,0,0,68.3,30702
1.1348,0,20.28,0,0,68.3,28715
1.1348,0,20.28,0,0,68.3,27114
1.1269,0,20.28,0,0,68.3,25362
1.1269,0,20.28,0,0,68.3,23658
1.1269,0,20.28,0,0,68.3,22313
1.1191,0,20.28,0,0,68.3,20940
1.1191,0,20.28,0,0,68.3,19028
1.1191,0,20.28,0,0,68.3,18020
1.1113,0,20.28,0,0,68.3,16478
1.1113,0,20.28,0,0,69,15397
1.1113,0,20.28,0,0,68.3,13739
1.1113,0,20.28,0,0,68.3,12572
1.1348,0,20.28,0,0,68.3,11961
1.1348,0,20.28,0,0,68.3,10712
1.1348,0,20.28,0,0,68.3,9361
1.1348,0,20.28,0,0,69,8651
1.1348,0,20.28,0,0,68.3,7895
1.1348,0,20.28,0,0,69,7119
1.1348,0,20.28,0,0,68.3,6280
1.1348,0,20.28,0,0,69,5357
1.1348,0,20.28,0,0,68.3,5357
1.1348,0,20.28,0,0,68.3,4334
1.1348,0,20.28,0,0,68.3,4334
1.1348,0,20.28,0,0,68.3,4334
1.1348,0,20.28,0,0,68.3,4334
1.1348,0,20.28,0,0,68.3,4334
1.1348,0,20.28,0,0,68.3,4334
1.1348,0,20.28,0,0,68.3,4334
1.1348,0,20.28,0,0,68.3,4334
1.1348,0,20.28,0,0,68.3,4334
1.1348,0,20.28,0,0,68.3,4334
1.1348,0,20.28,0,0,68.3,4334
1.1348,0,20.28,0,0,68.3,0
1.1348,0,20.28,0,0,68.3,0
1.1348,0,20.28,0,0,68.3,0
1.1348,0,20.28,0,0,68.3,0
1.1348,0,20.28,0,0,68.3,0
1.1348,0,20.28,0,0,68.3,0
1.1348,0,20.28,0,0,68.3,0
1.1348,0,20.28,0,0,68.3,0
1.1348,0,20.28,0,0,68.3,0
1.1348,0,20.28,0,0,68.3,0
1.1348,0,20.28,0,0,68.3,0
1.1348,0,20.5,0.211,0,68.3,0
1.1348,0,20.5,0.211,0,68.3,0
1.1348,0,20.5,0.211,0,68.3,0
1.1348,0,20.5,0.211,0,68.3,0
1.1348,0,20.5,0.211,0,68.3,0
1.1348,0,20.5,0.211,0,68.3,0
1.1348,0,20.5,0.211,0,68.3,0
# Start Of Session - Sample Time: 0.100,,,,,,
# Reset Source (Cause of reset):  Normal Boot-up Sequence,255,,,,,
# Idle Times: ,,,,,,
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.1348,0,20.28,0,0,24.9,0
1.1348,0,20.5,0.211,0,68.3,0
1.1348,0,20.28,0.211,0,68.3,0
1.1348,0,20.5,0,0,68.3,0
1.1348,0,20.5,0,0,68.3,0
1.1348,0,20.5,0.211,0,68.3,0
1.1348,0,20.5,0,0,68.3,0
1.1348,0,20.5,0,0,68.3,0
1.1504,0,20.28,0,0,68.3,0
1.1661,0,20.28,0,0,68.3,0
1.1661,0,20.28,0,0,68.3,0
1.174,0,20.5,0,0,68.3,0
1.1818,0,20.5,0.211,0,68.3,0
1.1975,0,20.28,0,0,68.3,0
1.2053,0,20.5,0,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.2288,0,20.28,0.211,0,68.3,0
1.2445,0,20.5,0,0,68.3,0
1.2445,0,20.5,0,0,68.3,0
1.2445,0,20.5,0,0,68.3,0
1.2445,0,20.5,0,0,68.3,0
1.2445,0,20.5,0,0,68.3,0
1.3464,10.588,20.28,0,0,68.3,0
1.3464,10.196,20.28,0,0,68.3,14307
1.3464,10.588,20.28,0,0,68.3,15479
1.3464,10.588,20.28,0,0,68.3,16832
1.3464,10.588,20.28,0,0,68.3,17847
1.3464,10.588,20.28,0,0,68.3,18377
1.3464,10.98,20.28,0,0,68.3,19045
1.3464,10.98,20.28,0,0,68.3,19613
1.3464,10.588,20.28,0,0,68.3,20235
1.3464,10.588,20.28,0,0,68.3,20540
1.3464,10.196,20.28,0,0,68.3,20749
1.3385,8.627,20.28,0,0,68.3,20855
1.3072,3.137,20.28,0,0,68.3,20195
1.2993,1.176,20.28,0,0,68.3,18939
1.2993,0.392,20.5,0,0,68.3,18036
1.2993,0,20.28,0,0,68.3,16572
1.2915,0,20.5,0,0,68.3,15526
1.2758,0,20.28,0,0,68.3,13870
1.268,0,20.5,0,0,68.3,12697
1.2523,0,20.28,0,0,68.3,12110
1.2445,0,20.28,0,0,68.3,10848
1.2445,0,20.28,0,0,68.3,9540
1.2445,0,20.28,0,0,68.3,8827
1.2445,0,20.28,0,0,68.3,8102
1.2445,0,20.28,0,0,68.3,7339
1.2445,0,20.28,0,0,68.3,6512
1.2445,0,20.5,0,0,68.3,5631
1.2445,0,20.5,0.211,0,68.3,4649
1.2445,0,20.28,0,0,68.3,4649
1.2445,0,20.5,0,0,68.3,3492
1.1975,0,20.28,0,0,68.3,3492
1.1818,0,20.28,0,0,68.3,3492
1.174,0,20.28,0,0,68.3,2550
1.1583,0,20.5,0.211,0,68.3,2550
1.1583,0,20.5,0,0,68.3,2550
1.1504,0,20.28,0.211,0,68.3,2550
1.1426,0,20.5,0.211,0,68.3,0
1.1348,0,20.5,0.211,0,68.3,0
1.1348,0,20.28,0,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1113,0,20.28,0,0,68.3,0
1.1113,0,20.28,0,0,68.3,0
1.1113,0,20.28,0,0,68.3,0
1.1113,0,20.28,0,0,68.3,0
1.1113,0,20.28,0,0,68.3,0
1.1113,0,20.28,0,0,68.3,0
1.1113,0,20.28,0,0,68.3,0
1.1113,0,20.28,0,0,68.3,0
1.1113,0,20.28,0,0,68.3,0
# Start Of Session - Sample Time: 0.100,,,,,,
# Reset Source (Cause of reset):  Normal Boot-up Sequence,255,,,,,
# Idle Times: ,,,,,,
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.1113,0,20.28,0,0,24.9,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0.211,0,67.6,0
1.1113,0,20.5,0.211,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.5,0.211,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.5,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
1.1113,0,20.28,0,0,67.6,0
