6	10000	0.6374	0.13069		0.11583	-0.1832	1	1	-0.766	0	0.5289
6	11000	0.6441	0.13092		0.11695	-0.1854	1	1	-0.7664	0	0.5294
6	12000	0.6498	0.13116		0.11795	-0.1874	1	1	-0.7665	0	0.5299
6	13000	0.6548	0.13138		0.11886	-0.1891	1	1	-0.7665	0	0.5303
6	14000	0.6591	0.13159		0.11967	-0.1905	1	1	-0.7664	0	0.5307
6	15000	0.6627	0.13177		0.1204	-0.1918	1	1	-0.766	0	0.531
6	16000	0.6657	0.13194		0.12105	-0.1929	1	1	-0.7656	0	0.5313
6	17000	0.6682	0.13207		0.12163	-0.1938	1	1	-0.7649	0	0.5316
6	18000	0.6702	0.13217		0.12215	-0.1945	1	1	-0.7641	0	0.5318
6	19000	0.6716	0.13224		0.12259	-0.1951	1	1	-0.7631	0	0.5321
6	20000	0.6725	0.13227		0.12298	-0.1955	1	1	-0.762	0	0.5323
6	21000	0.6729	0.13227		0.12331	-0.1957	1	1	-0.7607	0	0.5325
6	22000	0.6848	0.13324		0.12448	-0.1984	0.9946	1	-0.7671	0	0.5314
6	23000	0.6947	0.1333		0.12478	-0.2007	0.9827	1	-0.7716	0	0.5305
6	24000	0.7078	0.134		0.12564	-0.2034	0.97	1	-0.7792	0	0.5291
6	25000	0.7112	0.13311		0.12499	-0.2039	0.9545	1	-0.7801	0	0.5284
6	26000	0.7219	0.13333		0.12536	-0.2058	0.9392	1	-0.7867	0	0.5268
6	27000	0.7434	0.13518		0.12724	-0.2099	0.9248	1	-0.8016	0	0.5241
6	28000	0.7615	0.13607		0.1282	-0.213	0.9078	1	-0.8146	0	0.5215
6	29000	0.7529	0.13349		0.12589	-0.2105	0.8916	1	-0.8082	0	0.5215
6	30000	0.7682	0.13477		0.12723	-0.2131	0.8804	1	-0.8193	0	0.5193
6	31000	0.7851	0.13516		0.12766	-0.2157	0.8632	1	-0.8326	0	0.5166
6	32000	0.7782	0.1337		0.12641	-0.2136	0.8521	1	-0.8276	0	0.5164
6	33000	0.8020	0.13497		0.12766	-0.2175	0.8373	1	-0.8464	0	0.5131
6	34000	0.8124	0.1361		0.12885	-0.219	0.8301	1	-0.8544	0	0.5115
